Date,SPX,GLD,USO,SLV,EUR/USD,formatted_date
2008-02-14,1348.859985,89.709999,75.760002,17.087,1.464408,14-02-2008
2008-02-15,1349.98999,89.150002,75.93,16.952,1.46761,15-02-2008
2008-02-19,1348.780029,91.580002,78.809998,17.378,1.472993,19-02-2008
2008-02-20,1360.030029,93.239998,79.32,17.700001,1.472299,20-02-2008
2008-02-21,1342.530029,93.25,77.330002,17.695999,1.481503,21-02-2008
2008-02-22,1353.109985,93.389999,78.599998,17.916,1.482602,22-02-2008
2008-02-25,1371.800049,92.739998,78.739998,17.99,1.483591,25-02-2008
2008-02-26,1381.290039,93.709999,80.099998,18.6,1.49961,26-02-2008
2008-02-27,1380.02002,94.779999,78.919998,19.132999,1.511807,27-02-2008
2008-02-28,1367.680054,95.989998,81.480003,19.666,1.519595,28-02-2008
2008-02-29,1330.630005,96.18,80.419998,19.667999,1.519203,29-02-2008
2008-03-03,1331.339966,97.239998,81.32,20.163,1.520011,03-03-2008
2008-03-04,1326.75,95.18,79.400002,19.620001,1.521005,04-03-2008
2008-03-05,1333.699951,97.720001,83.300003,20.621,1.527697,05-03-2008
2008-03-06,1304.339966,96.5,83.889999,20.075001,1.538509,06-03-2008
2008-03-07,1293.369995,96.089996,83.730003,20.040001,1.533601,07-03-2008
2008-03-10,1273.369995,95.870003,85.629997,19.475,1.534095,10-03-2008
2008-03-11,1320.650024,95.989998,86.339996,19.52,1.534189,11-03-2008
2008-03-12,1308.77002,97.010002,86.919998,19.969999,1.554002,12-03-2008
2008-03-13,1315.47998,98.339996,87.209999,20.406,1.562207,13-03-2008
2008-03-14,1288.140015,98.709999,86.510002,20.421,1.561792,14-03-2008
2008-03-17,1276.599976,99.169998,83.300003,19.98,1.574803,17-03-2008
2008-03-18,1330.73999,96.5,85.800003,19.379,1.565803,18-03-2008
2008-03-19,1298.420044,93.040001,82.290001,18.250999,1.563893,19-03-2008
2008-03-20,1329.51001,89.910004,81.300003,16.701,1.544211,20-03-2008
2008-03-24,1349.880005,90.099998,80.260002,16.787001,1.543496,24-03-2008
2008-03-25,1352.98999,92.730003,81.470001,17.775,1.561207,25-03-2008
2008-03-26,1341.130005,93.800003,84.809998,18.225,1.582404,26-03-2008
2008-03-27,1325.76001,93.459999,85.730003,18.32,1.581403,27-03-2008
2008-03-28,1315.219971,91.879997,84.370003,17.75,1.576094,28-03-2008
2008-04-01,1370.180054,86.860001,81.059998,16.6,1.567791,01-04-2008
2008-04-02,1367.530029,89.269997,83.779999,17.246,1.566711,02-04-2008
2008-04-03,1369.310059,89.419998,83.650002,17.23,1.573688,03-04-2008
2008-04-07,1372.540039,91.169998,86.93,17.950001,1.557802,07-04-2008
2008-04-08,1365.540039,90.349998,87.190002,17.507,1.582404,08-04-2008
2008-04-09,1354.48999,92.290001,88.900002,18.014999,1.574208,09-04-2008
2008-04-10,1360.550049,91.769997,88.18,17.812,1.582203,10-04-2008
2008-04-14,1328.319946,91.110001,89.639999,17.514999,1.578607,14-04-2008
2008-04-15,1334.430054,91.660004,91.440002,17.681999,1.595813,15-04-2008
2008-04-16,1364.709961,93.269997,92.150002,18.153999,1.590204,16-04-2008
2008-04-17,1365.560059,92.559998,92.370003,18.01,1.573391,17-04-2008
2008-04-21,1388.170044,90.25,94.379997,17.267,1.598798,21-04-2008
2008-04-22,1375.939941,90.269997,95.080002,17.476999,1.587402,22-04-2008
2008-04-23,1379.930054,89.220001,95.18,17.000999,1.568406,23-04-2008
2008-04-24,1388.819946,87.220001,93.199997,16.552,1.563697,24-04-2008
2008-04-28,1396.369995,87.690002,95.690002,16.84,1.556711,28-04-2008
2008-04-29,1390.939941,85.809998,92.989998,16.382,1.562207,29-04-2008
2008-05-01,1409.339966,83.989998,90.379997,15.994,1.5434,01-05-2008
2008-05-05,1407.48999,86.269997,96.739998,16.573999,1.553591,05-05-2008
2008-05-06,1418.26001,86.629997,98.379997,16.73,1.538509,06-05-2008
2008-05-07,1392.569946,85.82,99.800003,16.503,1.546408,07-05-2008
2008-05-08,1397.680054,87.239998,100.660004,16.700001,1.548995,08-05-2008
2008-05-12,1403.579956,86.989998,100.110001,16.997,1.5477,12-05-2008
2008-05-13,1403.040039,85.389999,101.709999,16.554001,1.54691,13-05-2008
2008-05-14,1408.660034,85.199997,100.220001,16.365999,1.545094,14-05-2008
2008-05-15,1423.569946,87.0,100.209999,16.555,1.5596,15-05-2008
2008-05-19,1426.630005,89.389999,102.800003,16.819,1.565411,19-05-2008
2008-05-20,1413.400024,90.900002,104.300003,17.5,1.578806,20-05-2008
2008-05-21,1390.709961,91.959999,108.309998,17.860001,1.573193,21-05-2008
2008-05-22,1394.349976,90.980003,105.629997,17.780001,1.578507,22-05-2008
2008-05-27,1385.349976,89.360001,104.260002,17.256001,1.565607,27-05-2008
2008-05-28,1390.839966,89.139999,105.919998,17.264999,1.551807,28-05-2008
2008-05-29,1398.26001,86.510002,102.260002,16.478001,1.554098,29-05-2008
2008-06-02,1385.670044,87.959999,103.050003,16.642,1.545022,02-06-2008
2008-06-03,1377.650024,86.879997,100.650002,16.587,1.543258,03-06-2008
2008-06-04,1377.199951,86.650002,98.980003,16.641001,1.558895,04-06-2008
2008-06-05,1404.050049,86.449997,103.949997,16.972,1.578507,05-06-2008
2008-06-09,1361.76001,87.989998,109.050003,16.944,1.546408,09-06-2008
2008-06-10,1358.439941,85.550003,107.019997,16.440001,1.555791,10-06-2008
2008-06-11,1335.48999,87.019997,110.989998,16.700001,1.546097,11-06-2008
2008-06-12,1339.869995,85.599998,111.269997,16.35,1.536901,12-06-2008
2008-06-16,1360.140015,87.010002,108.989998,16.950001,1.552193,16-06-2008
2008-06-17,1350.930054,87.25,108.68,16.902,1.553808,17-06-2008
2008-06-18,1337.810059,88.279999,110.889999,17.188999,1.550989,18-06-2008
2008-06-19,1342.829956,88.419998,106.910004,17.153,1.562793,19-06-2008
2008-06-23,1318.0,87.089996,110.919998,16.629999,1.557002,23-06-2008
2008-06-24,1314.290039,87.470001,110.949997,16.492001,1.567398,24-06-2008
2008-06-25,1321.969971,87.419998,108.5,16.625999,1.575299,25-06-2008
2008-06-26,1283.150024,90.610001,113.120003,17.025,1.575299,26-06-2008
2008-07-01,1284.910034,92.660004,114.589996,17.9,1.587806,01-07-2008
2008-07-02,1261.52002,93.169998,116.839996,18.215,1.570007,02-07-2008
2008-07-03,1262.900024,92.059998,116.82,18.000999,1.571388,03-07-2008
2008-07-07,1252.310059,91.230003,114.949997,17.6,1.53339,07-07-2008
2008-07-08,1273.699951,90.860001,109.919998,17.664,1.573589,08-07-2008
2008-07-09,1244.689941,91.5,109.650002,17.950001,1.578507,09-07-2008
2008-07-10,1253.390015,93.529999,114.339996,18.120001,1.594896,10-07-2008
2008-07-14,1228.300049,95.910004,117.480003,18.934999,1.589901,14-07-2008
2008-07-15,1214.910034,96.169998,112.389999,18.700001,1.582203,15-07-2008
2008-07-16,1245.359985,94.440002,109.25,18.545,1.58559,16-07-2008
2008-07-17,1260.319946,94.220001,105.529999,18.32,1.585389,17-07-2008
2008-07-21,1260.0,95.120003,106.669998,18.228001,1.579205,21-07-2008
2008-07-22,1277.0,93.059998,103.32,17.759001,1.569243,22-07-2008
2008-07-23,1282.189941,90.57,100.019997,17.190001,1.568874,23-07-2008
2008-07-24,1252.540039,91.330002,101.459999,17.26,1.5673,24-07-2008
2008-07-28,1234.369995,91.730003,100.540001,17.360001,1.55909,28-07-2008
2008-07-29,1263.199951,90.589996,98.040001,17.190001,1.557366,29-07-2008
2008-07-30,1284.26001,89.519997,102.129997,17.360001,1.559308,30-07-2008
2008-08-07,1266.069946,86.089996,96.440002,16.07,1.504891,07-08-2008
2008-08-25,1266.839966,80.93,93.099998,13.33,1.464794,25-08-2008
2008-08-26,1271.51001,81.230003,93.900002,13.45,1.472581,26-08-2008
2008-08-27,1281.660034,81.360001,95.660004,13.35,1.47141,27-08-2008
2008-08-28,1300.680054,82.18,93.389999,13.55,1.467093,28-08-2008
2008-09-02,1277.579956,79.199997,89.190002,12.94,1.448604,02-09-2008
2008-09-03,1274.97998,78.889999,88.440002,12.75,1.426493,03-09-2008
2008-09-04,1236.829956,78.389999,87.019997,12.63,1.427491,04-09-2008
2008-09-08,1267.790039,78.860001,85.93,11.95,1.414847,08-09-2008
2008-09-09,1224.51001,76.489998,82.349998,11.18,1.398406,09-09-2008
2008-09-10,1232.040039,74.220001,82.970001,10.6,1.3996,10-09-2008
2008-09-11,1249.050049,73.080002,81.489998,10.32,1.423994,11-09-2008
2008-09-15,1192.699951,77.559998,76.300003,10.95,1.413507,15-09-2008
2008-09-16,1213.599976,76.790001,74.989998,10.4,1.432932,16-09-2008
2008-09-17,1156.390015,85.459999,77.5,11.9,1.430492,17-09-2008
2008-09-18,1206.51001,82.800003,79.169998,11.89,1.441795,18-09-2008
2008-09-22,1207.089966,89.18,87.620003,13.35,1.469292,22-09-2008
2008-09-23,1188.219971,88.32,86.129997,13.18,1.463315,23-09-2008
2008-09-24,1185.869995,86.709999,84.860001,13.09,1.464193,24-09-2008
2008-09-25,1209.180054,86.449997,86.690002,13.03,1.459897,25-09-2008
2008-09-29,1106.420044,89.57,77.089996,12.95,1.409642,29-09-2008
2008-09-30,1166.359985,85.07,82.010002,11.85,1.40162,30-09-2008
2008-10-01,1161.060059,85.970001,79.589996,12.33,1.380796,01-10-2008
2008-10-02,1114.280029,82.330002,75.82,10.8,1.378493,02-10-2008
2008-10-06,1056.890015,84.279999,71.610001,10.75,1.358806,06-10-2008
2008-10-07,996.22998,87.269997,72.489998,11.38,1.495707,07-10-2008
2008-10-08,984.940002,89.419998,72.260002,11.51,1.359804,08-10-2008
2008-10-09,909.919983,89.900002,69.599998,11.95,1.3398,09-10-2008
2008-10-13,1003.349976,81.989998,67.779999,10.59,1.361804,13-10-2008
2008-10-14,998.01001,82.199997,65.029999,10.86,1.344393,14-10-2008
2008-10-15,907.840027,83.309998,60.73,10.27,1.349,15-10-2008
2008-10-16,946.429993,79.290001,59.34,9.6,1.3423,16-10-2008
2008-10-20,985.400024,78.5,61.799999,9.77,1.306114,20-10-2008
2008-10-21,955.049988,76.029999,58.77,9.98,1.281673,21-10-2008
2008-10-22,896.780029,71.709999,54.93,9.45,1.294498,22-10-2008
2008-10-23,908.109985,70.650002,56.599998,9.38,1.262993,23-10-2008
2008-10-27,848.919983,72.18,50.849998,8.85,1.246463,27-10-2008
2008-10-28,940.51001,73.790001,53.220001,9.05,1.280902,28-10-2008
2008-10-29,930.090027,74.0,55.68,9.67,1.295924,29-10-2008
2008-10-30,954.090027,72.709999,54.0,9.68,1.286803,30-10-2008
2008-10-31,968.75,71.339996,55.59,9.58,1.270196,31-10-2008
2008-11-03,966.299988,71.099998,52.490002,9.62,1.261798,03-11-2008
2008-11-04,1005.75,75.480003,57.380001,10.12,1.298398,04-11-2008
2008-11-05,952.77002,72.800003,53.84,10.21,1.291806,05-11-2008
2008-11-06,904.880005,72.220001,50.150002,9.9,1.269503,06-11-2008
2008-11-07,930.98999,72.5,50.040001,9.94,1.271407,07-11-2008
2008-11-10,919.210022,73.580002,51.23,10.06,1.274795,10-11-2008
2008-11-11,898.950012,72.050003,48.110001,9.64,1.251596,11-11-2008
2008-11-12,852.299988,70.0,45.75,9.17,1.245904,12-11-2008
2008-11-13,911.289978,72.150002,49.0,9.3,1.278871,13-11-2008
2008-11-14,873.289978,73.300003,46.18,9.36,1.2597,14-11-2008
2008-11-17,850.75,72.650002,45.16,9.18,1.264398,17-11-2008
2008-11-18,859.119995,72.510002,44.77,9.48,1.263695,18-11-2008
2008-11-19,806.580017,72.260002,43.259998,9.1,1.250531,19-11-2008
2008-11-20,752.440002,73.449997,39.549999,8.86,1.243905,20-11-2008
2008-11-21,800.030029,78.849998,41.0,9.52,1.259097,21-11-2008
2008-11-24,851.809998,80.910004,44.130001,10.43,1.291773,24-11-2008
2008-11-25,857.390015,80.870003,41.360001,10.19,1.303407,25-11-2008
2008-11-26,887.679993,80.379997,44.540001,10.19,1.289923,26-11-2008
2008-11-28,896.23999,80.309998,42.09,10.23,1.269793,28-11-2008
2008-12-01,816.210022,75.650002,39.889999,9.18,1.259906,01-12-2008
2008-12-02,848.809998,76.949997,38.5,9.49,1.271326,02-12-2008
2008-12-03,870.73999,76.18,38.049999,9.51,1.270793,03-12-2008
2008-12-04,845.219971,75.5,35.41,9.38,1.2774,04-12-2008
2008-12-05,876.070007,74.519997,34.25,9.4,1.271698,05-12-2008
2008-12-08,909.700012,76.199997,36.119999,9.89,1.491803,08-12-2008
2008-12-09,888.669983,76.330002,34.450001,9.7,1.292608,09-12-2008
2008-12-10,899.23999,79.75,35.810001,10.12,1.301406,10-12-2008
2008-12-11,873.590027,80.650002,38.639999,10.2,1.332996,11-12-2008
2008-12-12,879.72998,80.809998,38.099998,10.14,1.335399,12-12-2008
2008-12-15,868.570007,82.599998,36.84,10.55,1.3696,15-12-2008
2008-12-16,913.179993,84.459999,36.439999,11.03,1.406193,16-12-2008
2008-12-17,904.419983,85.43,34.810001,11.29,1.440839,17-12-2008
2008-12-18,885.280029,83.870003,32.73,10.84,1.429307,18-12-2008
2008-12-19,887.880005,82.629997,33.060001,10.67,1.392603,19-12-2008
2008-12-22,871.630005,83.459999,30.629999,10.73,1.395907,22-12-2008
2008-12-23,863.159973,82.629997,30.0,10.16,1.393787,23-12-2008
2008-12-24,868.150024,83.459999,29.02,10.28,1.400894,24-12-2008
2008-12-26,872.799988,85.599998,29.1,10.64,1.402702,26-12-2008
2008-12-29,869.419983,86.349998,30.92,10.77,1.403903,29-12-2008
2008-12-30,890.640015,85.900002,30.200001,10.82,1.414007,30-12-2008
2008-12-31,903.25,86.519997,33.099998,11.2,1.397995,31-12-2008
2009-01-02,931.799988,86.230003,35.630001,11.41,1.392292,02-01-2009
2009-01-05,927.450012,84.480003,37.299999,11.11,1.364592,05-01-2009
2009-01-06,934.700012,85.129997,37.25,11.34,1.351004,06-01-2009
2009-01-07,906.650024,82.75,33.27,10.86,1.3611,07-01-2009
2009-01-08,909.72998,84.459999,33.200001,10.99,1.369901,08-01-2009
2009-01-09,890.349976,83.919998,32.369999,11.1,1.345497,09-01-2009
2009-01-12,870.26001,80.760002,30.65,10.5,1.336005,12-01-2009
2009-01-13,871.789978,80.879997,31.84,10.6,1.320202,13-01-2009
2009-01-14,842.619995,79.790001,31.23,10.45,1.321702,14-01-2009
2009-01-15,843.73999,80.389999,30.18,10.49,1.315807,15-01-2009
2009-01-16,850.119995,82.709999,29.860001,11.11,1.329204,16-01-2009
2009-01-20,805.219971,84.519997,28.66,11.09,1.288494,20-01-2009
2009-01-21,840.23999,84.150002,31.030001,11.18,1.300508,21-01-2009
2009-01-22,827.5,84.580002,30.02,11.33,1.300678,22-01-2009
2009-01-23,831.950012,88.529999,32.330002,11.85,1.296496,23-01-2009
2009-01-26,836.570007,88.949997,32.139999,11.9,1.319192,26-01-2009
2009-01-27,845.710022,88.379997,29.5,11.85,1.321598,27-01-2009
2009-01-28,874.090027,87.419998,29.75,11.86,1.315322,28-01-2009
2009-01-29,845.140015,89.5,29.219999,12.26,1.293795,29-01-2009
2009-01-30,825.880005,91.309998,29.219999,12.52,1.283697,30-01-2009
2009-02-02,825.440002,88.839996,28.4,12.21,1.281493,02-02-2009
2009-02-03,838.51001,88.470001,28.870001,12.32,1.301287,03-02-2009
2009-02-04,832.22998,89.18,28.27,12.42,1.285562,04-02-2009
2009-02-05,845.849976,90.120003,28.809999,12.75,1.279116,05-02-2009
2009-02-06,868.599976,89.589996,28.200001,12.91,1.292708,06-02-2009
2009-02-09,869.890015,88.32,28.25,12.72,1.295908,09-02-2009
2009-02-10,827.159973,90.209999,26.91,12.98,1.291406,10-02-2009
2009-02-11,833.73999,92.290001,26.08,13.34,1.286803,11-02-2009
2009-02-12,835.190002,93.169998,26.129999,13.33,1.289092,12-02-2009
2009-02-13,826.840027,92.550003,25.6,13.54,1.286604,13-02-2009
2009-02-17,789.169983,95.449997,23.459999,13.99,1.258194,17-02-2009
2009-02-18,788.419983,96.910004,22.860001,14.17,1.256897,18-02-2009
2009-02-19,778.940002,95.769997,24.280001,13.89,1.265903,19-02-2009
2009-02-20,770.049988,97.800003,24.35,14.25,1.293293,20-02-2009
2009-02-23,743.330017,97.730003,23.32,14.34,1.267813,23-02-2009
2009-02-24,773.140015,94.730003,24.440001,13.61,1.287399,24-02-2009
2009-02-25,764.900024,93.150002,26.0,13.49,1.272426,25-02-2009
2009-02-26,752.830017,93.059998,27.23,12.97,1.272054,26-02-2009
2009-02-27,735.090027,92.629997,27.049999,12.88,1.267893,27-02-2009
2009-03-02,700.820007,90.93,24.48,12.77,1.256408,02-03-2009
2009-03-03,696.330017,90.040001,25.389999,12.65,1.25318,03-03-2009
2009-03-04,712.869995,88.989998,27.610001,12.78,1.263807,04-03-2009
2009-03-05,682.549988,91.989998,26.559999,13.15,1.254674,05-03-2009
2009-03-06,683.380005,92.290001,27.99,13.18,1.263807,06-03-2009
2009-03-09,676.530029,90.57,28.65,12.77,1.262276,09-03-2009
2009-03-10,719.599976,88.139999,27.83,12.45,1.271666,10-03-2009
2009-03-11,721.359985,89.220001,26.299999,12.59,1.280672,11-03-2009
2009-03-12,750.73999,91.099998,28.23,12.79,1.28989,12-03-2009
2009-03-13,756.549988,91.300003,27.629999,13.05,1.292992,13-03-2009
2009-03-16,753.890015,90.800003,28.25,12.79,1.297606,16-03-2009
2009-03-17,778.119995,90.040001,29.440001,12.6,1.303322,17-03-2009
2009-03-18,794.349976,93.089996,29.610001,12.77,1.348399,18-03-2009
2009-03-19,784.039978,94.349998,30.360001,13.42,1.366195,19-03-2009
2009-03-20,768.539978,93.589996,30.76,13.61,1.358197,20-03-2009
2009-03-23,822.919983,92.080002,31.780001,13.46,1.362045,23-03-2009
2009-03-24,806.119995,90.949997,31.610001,13.25,1.348127,24-03-2009
2009-03-25,813.880005,91.980003,31.209999,13.35,1.3577,25-03-2009
2009-03-26,832.859985,91.93,32.02,13.35,1.35307,26-03-2009
2009-03-27,815.940002,90.690002,30.75,13.15,1.329204,27-03-2009
2009-03-30,787.530029,89.980003,28.700001,12.85,1.324696,30-03-2009
2009-03-31,797.869995,90.279999,29.049999,12.79,1.3241,31-03-2009
2009-04-01,811.080017,91.029999,28.58,12.84,1.346692,01-04-2009
2009-04-02,834.380005,88.800003,30.98,12.77,1.348909,02-04-2009
2009-04-06,835.47998,85.269997,30.23,11.94,1.327739,06-04-2009
2009-04-07,815.549988,86.739998,28.940001,12.07,1.325135,07-04-2009
2009-04-08,825.159973,86.610001,29.49,12.14,1.315997,08-04-2009
2009-04-09,856.559998,86.309998,30.690001,12.17,1.317593,09-04-2009
2009-04-13,858.72998,87.879997,29.68,12.57,1.327404,13-04-2009
2009-04-14,841.5,87.370003,29.209999,12.54,1.322594,14-04-2009
2009-04-15,852.059998,87.5,29.309999,12.55,1.318044,15-04-2009
2009-04-16,865.299988,85.809998,29.290001,12.06,1.304495,16-04-2009
2009-04-20,832.390015,86.949997,27.219999,11.89,1.293494,20-04-2009
2009-04-21,850.080017,86.889999,27.33,11.86,1.300576,21-04-2009
2009-04-22,843.549988,87.379997,27.34,12.13,1.314095,22-04-2009
2009-04-23,851.919983,88.800003,27.879999,12.54,1.325803,23-04-2009
2009-04-27,857.51001,89.010002,28.08,12.66,1.313094,27-04-2009
2009-04-28,855.159973,87.75,27.85,12.3,1.326594,28-04-2009
2009-04-29,873.640015,88.330002,28.559999,12.55,1.323522,29-04-2009
2009-04-30,872.809998,87.269997,28.629999,12.21,1.326805,30-04-2009
2009-05-04,907.23999,88.639999,30.559999,12.83,1.331593,04-05-2009
2009-05-05,903.799988,88.25,30.15,13.14,1.331292,05-05-2009
2009-05-06,919.530029,89.540001,31.43,13.52,1.339208,06-05-2009
2009-05-07,907.390015,89.440002,31.49,13.6,1.363903,07-05-2009
2009-05-11,909.23999,89.690002,32.290001,13.74,1.364498,11-05-2009
2009-05-12,908.349976,90.699997,32.630001,14.02,1.358862,12-05-2009
2009-05-13,883.919983,91.089996,32.189999,13.81,1.363605,13-05-2009
2009-05-14,893.070007,91.029999,32.400002,13.85,1.350202,14-05-2009
2009-05-18,909.710022,90.360001,32.709999,13.58,1.363234,18-05-2009
2009-05-19,908.130005,90.959999,32.790001,13.98,1.377297,19-05-2009
2009-05-20,903.469971,92.25,33.869999,14.1,1.390608,20-05-2009
2009-05-21,888.330017,93.849998,33.380001,14.34,1.400305,21-05-2009
2009-05-26,910.330017,93.760002,34.110001,14.42,1.383394,26-05-2009
2009-05-27,893.059998,93.449997,34.580002,14.58,1.393107,27-05-2009
2009-05-28,906.830017,94.239998,35.34,14.93,1.415709,28-05-2009
2009-06-01,942.869995,95.730003,37.43,15.35,1.430861,01-06-2009
2009-06-02,944.73999,96.360001,37.610001,15.75,1.414968,02-06-2009
2009-06-03,931.76001,94.410004,36.25,15.14,1.417796,03-06-2009
2009-06-04,942.460022,96.230003,37.689999,15.63,1.397194,04-06-2009
2009-06-08,939.140015,93.559998,37.540001,14.76,1.406331,08-06-2009
2009-06-09,942.429993,93.830002,38.189999,15.03,1.398386,09-06-2009
2009-06-10,939.150024,93.860001,38.970001,15.01,1.411094,10-06-2009
2009-06-11,944.890015,93.699997,39.68,15.13,1.400109,11-06-2009
2009-06-15,923.719971,91.099998,38.52,13.83,1.382992,15-06-2009
2009-06-16,911.969971,91.93,38.509998,13.99,1.393806,16-06-2009
2009-06-17,910.710022,92.349998,38.700001,14.12,1.391498,17-06-2009
2009-06-18,918.369995,91.610001,38.849998,13.97,1.3947,18-06-2009
2009-06-22,893.039978,90.540001,36.25,13.54,1.407202,22-06-2009
2009-06-23,895.099976,90.919998,37.41,13.62,1.394097,23-06-2009
2009-06-24,900.940002,91.449997,37.09,13.68,1.398562,24-06-2009
2009-06-25,920.26001,92.309998,38.049999,13.81,1.405304,25-06-2009
2009-06-29,927.22998,92.040001,38.669998,13.66,1.403883,29-06-2009
2009-06-30,919.320007,91.18,37.93,13.38,1.414087,30-06-2009
2009-07-01,923.330017,92.389999,37.459999,13.55,1.395751,01-07-2009
2009-07-02,896.419983,91.25,36.049999,13.16,1.396005,02-07-2009
2009-07-06,898.719971,90.760002,34.709999,13.1,1.391595,06-07-2009
2009-07-07,881.030029,90.709999,33.810001,12.89,1.387906,07-07-2009
2009-07-08,879.559998,89.269997,32.57,12.69,1.4028,08-07-2009
2009-07-09,882.679993,89.510002,32.77,12.67,1.393398,09-07-2009
2009-07-13,901.049988,90.190002,32.369999,12.66,1.397155,13-07-2009
2009-07-14,905.840027,90.809998,32.110001,12.72,1.410199,14-07-2009
2009-07-15,932.679993,92.239998,33.470001,13.06,1.414107,15-07-2009
2009-07-16,940.73999,91.980003,33.560001,13.09,1.410497,16-07-2009
2009-07-20,951.130005,93.279999,34.830002,13.45,1.41985,20-07-2009
2009-07-21,954.580017,93.129997,34.939999,13.33,1.420596,21-07-2009
2009-07-22,954.070007,93.440002,34.810001,13.45,1.41633,22-07-2009
2009-07-23,976.289978,93.260002,35.790001,13.52,1.421202,23-07-2009
2009-07-27,982.179993,93.709999,36.32,13.84,1.414607,27-07-2009
2009-07-28,979.619995,92.110001,35.759998,13.52,1.401463,28-07-2009
2009-07-29,975.150024,91.199997,33.470001,13.12,1.40849,29-07-2009
2009-07-30,986.75,91.620003,35.490002,13.25,1.426005,30-07-2009
2009-08-03,1002.630005,93.870003,37.919998,14.03,1.441961,03-08-2009
2009-08-04,1005.650024,94.68,37.970001,14.35,1.441171,04-08-2009
2009-08-05,1002.719971,94.779999,38.200001,14.52,1.437298,05-08-2009
2009-08-06,997.080017,94.599998,38.27,14.32,1.419104,06-08-2009
2009-08-10,1007.099976,92.93,37.709999,14.15,1.415008,10-08-2009
2009-08-11,994.349976,92.790001,36.860001,14.09,1.421707,11-08-2009
2009-08-12,1005.809998,92.949997,37.349998,14.34,1.427593,12-08-2009
2009-08-13,1012.72998,93.720001,37.799999,14.79,1.420697,13-08-2009
2009-08-17,979.72998,91.610001,35.52,13.75,1.416511,17-08-2009
2009-08-18,989.669983,92.059998,36.860001,13.72,1.425395,18-08-2009
2009-08-19,996.460022,92.529999,38.119999,13.57,1.426005,19-08-2009
2009-08-20,1007.369995,92.269997,37.669998,13.7,1.43209,20-08-2009
2009-08-24,1025.569946,92.339996,38.299999,13.9,1.428408,24-08-2009
2009-08-25,1028.0,92.760002,37.169998,14.04,1.423629,25-08-2009
2009-08-26,1028.119995,92.790001,36.950001,14.09,1.437298,26-08-2009
2009-08-27,1030.97998,93.190002,37.720001,14.08,1.435998,27-08-2009
2009-08-31,1020.619995,93.400002,36.049999,14.62,1.421202,31-08-2009
2009-09-01,998.039978,93.900002,35.27,14.76,1.427409,01-09-2009
2009-09-02,994.75,96.190002,35.18,15.22,1.425639,02-09-2009
2009-09-03,1003.23999,97.459999,35.32,15.87,1.429409,03-09-2009
2009-09-08,1025.390015,97.43,36.939999,16.15,1.454799,08-09-2009
2009-09-09,1033.369995,97.080002,36.939999,16.059999,1.45813,09-09-2009
2009-09-10,1044.140015,97.699997,37.369999,16.41,1.458002,10-09-2009
2009-09-14,1049.339966,97.959999,35.709999,16.309999,1.467093,14-09-2009
2009-09-15,1052.630005,98.900002,36.700001,16.780001,1.471194,15-09-2009
2009-09-16,1068.76001,99.910004,37.43,17.139999,1.473297,16-09-2009
